"course.num","gpa.diff","residency","rural","sat.act.std","hrs.att.diff","prior.online.exp","hs.gpa.wgh","fa19.enroll.status","gender","survey.respondent","fin.aid.sp20","safe.living.place","fin.situation","tech.need","internet.access","study.envir","perform.percept","instructor.supp","live.on.campus.sp20","infected.by.covid","died.from.covid","covid.news.time"
324,0.4663,"In-State","Non-Rural",0.265943122253797,3,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","No","My study environment became worse","My performance worsened overall",3,"No","None","None","Less than 30 minutes"
112,-0.14,"In-State","Non-Rural",NA,1,"No",2.7813,"New Transfer Student","Female","Yes","Yes",4,"My financial situation worsened","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",3,"Yes","None","None","1 – 2 hours"
131,-0.6007,"In-State","Rural",-0.585661198034482,4,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",3,"No","None","None","30 minutes – 1 hour"
103,-0.51,"In-State","Non-Rural",-3.15700222546443,3,"Yes",NA,"New Transfer Student","Male","Yes","No",5,"My financial situation improved","Couldn't acquire some tech","Yes","My study environment became worse","My performance improved overall",4,"No","None","None","30 minutes – 1 hour"
131,-0.17,"In-State","Rural",-1.25407886970427,-4,"No",3.9778,"Continuing Student","Female","Yes",NA,5,"My financial situation worsened","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",5,"No","None","None","Less than 30 minutes"
341,1.06,"In-State","Non-Rural",-1.40261613007533,2,"No",NA,"Continuing Student","Male","Yes","Yes",4,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","None","None","Less than 30 minutes"
231,-0.36,"In-State","Non-Rural",0.754935314784972,1,"Yes",NA,"Continuing Student","Female","Yes","No",5,"My financial situation didn't change","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","1 – 2 hours"
224,0.8567,"In-State","Non-Rural",-0.0657807867357572,-3,"No",4.1923,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","30 minutes – 1 hour"
224,0.8047,"In-State","Rural",-1.20103345533973,3,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","No","My study environment became worse","My performance worsened overall",1,"Yes","None","None","1 – 2 hours"
341,0.35,"Out-of-State","Non-Rural",0.99943141105056,1,"No",3.4386,"Continuing Student","Female","Yes","Yes",4,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance improved overall",4,"Yes","Family member(s)","Family member(s)","More than 3 hours"
104,-0.0537999999999998,"In-State","Non-Rural",-0.223049070277378,1,"No",4.3125,"New Transfer Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","30 minutes – 1 hour"
104,0.145,"In-State","Non-Rural",-0.51139256784895,0,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance improved overall",3,"Yes","None","None","30 minutes – 1 hour"
231,-0.22,"In-State","Non-Rural",-1.84822791118853,9,"No",3.085,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","30 minutes – 1 hour"
340,0.45,"In-State","Non-Rural",NA,1,"No",NA,"Continuing Student","Female","Yes","Yes",4,"My financial situation improved","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"Yes","None","None","1 – 2 hours"
224,-0.1546,"In-State","Non-Rural",-0.659929828220014,-1,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","Family member(s),Close friend(s)","Family member(s)","1 – 2 hours"
224,0.0999999999999996,"In-State","Non-Rural",-1.5511533904464,6,"Yes",NA,"Continuing Student","Male","Yes","Yes",3,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",5,"No","Family member(s)","None","More than 3 hours"
341,0.94,"Out-of-State","Non-Rural",0.754935314784972,-5,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",5,"Yes","Family member(s)","None","30 minutes – 1 hour"
231,-0.13,"In-State","Non-Rural",-0.214318047106821,4,"No",NA,"Unclassified","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","None","None","Less than 30 minutes"
231,-0.0900000000000003,"In-State","Non-Rural",-0.362855307477886,-2,"Yes",NA,"Continuing Student","Male","Yes","Yes",3,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",2,"No","Family member(s),Close friend(s)","Close friend(s)","30 minutes – 1 hour"
131,-0.7314,"In-State","Non-Rural",0.305562364191903,2,"No",2.8438,"New Transfer Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",2,"Yes","None","None","1 – 2 hours"
224,-0.9557,"In-State","Non-Rural",-1.5511533904464,2,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation improved","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","1 – 2 hours"
132,0.6586,"In-State","Non-Rural",1.12251729623276,-2,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"No","None","None","More than 3 hours"
224,0.0907999999999998,"In-State","Non-Rural",-1.3283474998898,2,"Yes",NA,"Continuing Student","Female","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became better","My performance didn’t change",4,"Yes","Family member(s),Close friend(s)","Family member(s)","2 – 3 hours"
231,0.6415,"Out-of-State","Non-Rural",-0.214318047106821,0,"No",NA,"Continuing Student","Female","Yes","Yes",4,"My financial situation worsened","Purchased tech tools","No","My study environment became worse","My performance worsened overall",3,"No","Close friend(s)","None","30 minutes – 1 hour"
324,0,"In-State","Rural",0.231293734006371,0,"No",4.0625,"Continuing Student","Female","Yes","Yes",4,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",4,"No","None","None","Less than 30 minutes"
132,-0.82,"In-State","Rural",0.0214470259882092,0,"No",3.4358,"Continuing Student","Male","Yes","Yes",3,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",2,"No","Family member(s)","Family member(s)","1 – 2 hours"
224,0.5334,"In-State","Rural",-1.62542202063193,1,"Yes",3.7879,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"Yes","None","None","30 minutes – 1 hour"
231,-1.0566,"In-State","Rural",-1.69969065081746,1,"Yes",2.9689,"Continuing Student","Male","Yes","No",5,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance improved overall",3,"No","Family member(s),Close friend(s)","Prefer not to say","Less than 30 minutes"
131,-1.72,"In-State","Non-Rural",0.00848784344977485,1,"Yes",3.6211,"Returning Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","None","Prefer not to say","Less than 30 minutes"
224,-0.0741000000000001,"In-State","Non-Rural",-1.20103345533973,0,"Yes",3.5417,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","Family member(s),Close friend(s)","None","2 – 3 hours"
104,-0.1876,"In-State","Non-Rural",-0.467545166542966,1,"No",4.75,"New Transfer Student","Male","Yes","Yes",5,"My financial situation improved","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","Close friend(s)","None","1 – 2 hours"
132,1.2015,"In-State","Non-Rural",-1.44552955160532,-1,"No",3.4444,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"Yes","None","None","Less than 30 minutes"
224,0.457,"In-State","Non-Rural",NA,-1,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",2,"Yes","None","None","More than 3 hours"
131,0.473,"Out-of-State","Non-Rural",-0.957004348962142,0,"Yes",3.91,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",2,"Yes","Prefer not to say","None","More than 3 hours"
224,1.6386,"Out-of-State","Non-Rural",-0.223049070277378,1,"Yes",3.15,"Continuing Student","Female","Yes","No",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","Family member(s),Close friend(s)","Close friend(s)","More than 3 hours"
341,0.27,"Out-of-State","Non-Rural",0.0214470259882092,1,"No",3.968,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",4,"No","None","None","30 minutes – 1 hour"
224,0.2375,"In-State","Non-Rural",-0.362855307477886,-1,"Yes",3.3831,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"No","Prefer not to say","Prefer not to say","Less than 30 minutes"
231,0.953,"In-State","Non-Rural",-1.10554160933321,6,"No",3.5625,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment didn’t change","My performance didn’t change",4,"Yes","None","None","More than 3 hours"
341,0.5858,"Out-of-State","Non-Rural",-0.808467088591078,1,"Yes",3.8693,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","No","My study environment became worse","My performance worsened overall",2,"No","Family member(s),Close friend(s)","None","More than 3 hours"
104,-1.02,"In-State","Non-Rural",-0.467545166542966,0,"Yes",2.8452,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became better","My performance improved overall",1,"No","None","None","Less than 30 minutes"
231,0.9564,"In-State","Rural",-0.288586677292353,-1,"Yes",3.8667,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","30 minutes – 1 hour"
224,0.2,"In-State","Non-Rural",-0.51139256784895,-1,"Yes",3.6,"Continuing Student","Male","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","Family member(s)","Family member(s)","More than 3 hours"
224,-0.535,"In-State","Rural",0.973980035861692,6,"Yes",4.4063,"Continuing Student","Female","Yes","Yes",4,"My financial situation improved","Had all needed tech","Yes","My study environment became worse","My performance improved overall",4,"No","Prefer not to say","Prefer not to say","30 minutes – 1 hour"
112,-0.2215,"Out-of-State","Non-Rural",-1.44552955160532,4,"Yes",3.222,"New Transfer Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","None","None","1 – 2 hours"
104,-1.5633,"Out-of-State","Non-Rural",-1.5511533904464,0,"Yes",3.4413,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","Family member(s),Close friend(s)","None","1 – 2 hours"
341,0.8995,"Out-of-State","Non-Rural",-0.585661198034482,2,"Yes",3.688,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",4,"No","Family member(s)","Family member(s)","30 minutes – 1 hour"
231,-0.085,"In-State","Rural",-0.808467088591078,2,"Yes",3.6,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance improved overall",4,"No","None","None","Less than 30 minutes"
231,-1.0533,"In-State","Non-Rural",-0.808467088591078,3,"No",3.6914,"Returning Student","Female","Yes","Yes",3,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance worsened overall",1,"No","Family member(s),Close friend(s)","None","Less than 30 minutes"
324,0.0562999999999998,"Out-of-State","Non-Rural",1.12251729623276,-4,"No",3.6452,"Continuing Student","Male","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",5,"No","None","None","Less than 30 minutes"
341,-0.2392,"In-State","Non-Rural",-0.956537359074142,-1,"Yes",2.75,"Continuing Student","Female","Yes","Yes",4,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance worsened overall",2,"No","None","None","Less than 30 minutes"
224,0.0314999999999999,"In-State","Non-Rural",-1.03127297914767,2,"Yes",3.7852,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance improved overall",1,"No","None","None","Less than 30 minutes"
340,0.000600000000000378,"In-State","Non-Rural",-0.51139256784895,-4,"Yes",3.1,"Continuing Student","Female","Yes","Yes",4,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"No","None","None","Less than 30 minutes"
340,-0.0825,"Out-of-State","Non-Rural",-0.288586677292353,3,"Yes",4.186,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","No","My study environment became worse","My performance worsened overall",2,"Yes","Family member(s)","Family member(s)","More than 3 hours"
231,-1.01,"Out-of-State","Non-Rural",0.454099624562967,-2,"No",4.11,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",1,"No","None","None","More than 3 hours"
341,-0.3733,"Out-of-State","Non-Rural",-0.140049416921289,3,"No",3.89,"Continuing Student","Female","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",1,"No","Close friend(s)","None","More than 3 hours"
231,0.6108,"In-State","Rural",NA,1,"Yes",3.9,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","2 – 3 hours"
341,0.4089,"In-State","Non-Rural",0.510439218519385,-4,"Yes",4.4063,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"No","None","None","Less than 30 minutes"
103,-0.675,"In-State","Rural",-2.59091421304385,0,"Yes",1.9886,"New Transfer Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","More than 3 hours"
132,0.9,"In-State","Non-Rural",0.305562364191903,1,"Yes",3.0645,"Continuing Student","Female","Yes","Yes",4,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","30 minutes – 1 hour"
224,1.5038,"Out-of-State","Non-Rural",0.751174145305096,-1,"Yes",3.793,"Continuing Student","Female","Yes","No",5,"My financial situation worsened","Purchased tech tools","No","My study environment became worse","My performance worsened overall",3,"Yes","Family member(s),Close friend(s)","Family member(s)","Less than 30 minutes"
224,-1.61,"Out-of-State","Non-Rural",0.602636884934031,3,"Yes",3,"Continuing Student","Male","Yes","Yes",4,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","None","None","1 – 2 hours"
231,-0.6066,"In-State","Rural",0.231293734006371,1,"Yes",3.2667,"Continuing Student","Male","Yes","No",5,"My financial situation improved","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",4,"No","None","None","30 minutes – 1 hour"
340,0.2275,"In-State","Non-Rural",-0.140049416921289,-3,"Yes",4.0625,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",5,"No","None","None","More than 3 hours"
231,0.0500000000000003,"In-State","Non-Rural",0.305562364191903,-1,"Yes",4,"Continuing Student","Female","Yes","Yes",4,"My financial situation didn't change","Purchased tech tools","No","My study environment became worse","My performance worsened overall",2,"No","None","None","Less than 30 minutes"
131,1.0288,"Out-of-State","Non-Rural",-0.214318047106821,-2,"Yes",3,"Continuing Student","Female","Yes","Yes",4,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance worsened overall",1,"No","None","None","Less than 30 minutes"
341,-0.0613999999999999,"Out-of-State","Non-Rural",-0.0657807867357572,3,"No",3.322,"Continuing Student","Male","Yes","Yes",3,"My financial situation worsened","Had all needed tech","No","My study environment became worse","My performance worsened overall",2,"No","Close friend(s)","None","More than 3 hours"
341,0.7983,"In-State","Non-Rural",0.89971140567616,0,"No",4.25,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Purchased tech tools","Yes","My study environment became worse","My performance didn’t change",3,"No","None","None","Less than 30 minutes"
231,-0.5,"In-State","Non-Rural",1.73291969984732,1,"Yes",4.8185,"Continuing Student","Female","Yes","No",4,"My financial situation worsened","Had all needed tech","Yes","My study environment didn’t change","My performance worsened overall",3,"No","Family member(s),Close friend(s)","Family member(s)","More than 3 hours"
341,0.8643,"In-State","Non-Rural",-0.734198458405546,-3,"Yes",4.0323,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",4,"No","Family member(s),Close friend(s)","None","1 – 2 hours"
131,0.3063,"In-State","Non-Rural",-0.808467088591078,0,"Yes",3.5,"Continuing Student","Male","Yes","No",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance improved overall",4,"No","None","None","1 – 2 hours"
341,-0.1166,"Out-of-State","Non-Rural",0.379830994377435,2,"Yes",3.484,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","Less than 30 minutes"
112,-0.225,"In-State","Rural",-1.03127297914767,0,"Yes",3.4483,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",5,"Yes","None","None","30 minutes – 1 hour"
231,0.1267,"In-State","Non-Rural",0.231293734006371,3,"Yes",4.2298,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"No","None","None","30 minutes – 1 hour"
224,-0.585,"Out-of-State","Non-Rural",-0.51139256784895,3,"Yes",3.257,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment didn’t change","My performance worsened overall",4,"Yes","Family member(s)","None","2 – 3 hours"
341,0.5777,"In-State","Non-Rural",0.510439218519385,0,"Yes",3.4833,"Continuing Student","Male","Yes","Yes",5,"My financial situation improved","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",4,"Yes","Family member(s)","None","30 minutes – 1 hour"
131,-1.3707,"In-State","Non-Rural",-1.40261613007533,0,"Yes",2.8477,"Continuing Student","Female","Yes","Yes",4,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",1,"Yes","None","None","More than 3 hours"
231,0.5385,"In-State","Rural",-0.957004348962142,0,"Yes",4.0323,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","Family member(s)","None","More than 3 hours"
104,0.11,"Out-of-State","Non-Rural",-0.956537359074142,3,"No",3.7113,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","None","None","30 minutes – 1 hour"
341,1.097,"Out-of-State","Non-Rural",-0.808467088591078,4,"No",3.875,"Returning Student","Male","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",4,"No","None","None","2 – 3 hours"
231,0.1717,"In-State","Rural",-1.5511533904464,2,"No",4.0352,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance improved overall",4,"Yes","None","None","More than 3 hours"
341,0.2518,"In-State","Rural",NA,-1,"No",3.625,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"No","None","None","30 minutes – 1 hour"
341,0.6734,"Out-of-State","Non-Rural",0.676905515119564,-2,"No",3.5102,"Continuing Student","Male","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","Less than 30 minutes"
341,-0.9414,"In-State","Non-Rural",-0.88273571877661,-2,"No",3.625,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","No","My study environment became worse","My performance worsened overall",1,"Yes","None","None","2 – 3 hours"
112,-1.56,"In-State","Non-Rural",-1.62542202063193,1,"Yes",3.4063,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",1,"No","Close friend(s)","Prefer not to say","Less than 30 minutes"
341,-0.945,"In-State","Rural",-0.957004348962142,1,"No",3.6129,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"Yes","Family member(s),Close friend(s)","Prefer not to say",NA
231,0.0928999999999998,"In-State","Rural",-1.17981023951874,0,"No",4.4194,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance improved overall",4,"No","None","None","30 minutes – 1 hour"
104,-1.3866,"In-State","Non-Rural",-0.956537359074142,0,"Yes",2.9643,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Couldn't acquire some tech","Yes","My study environment became worse","My performance worsened overall",1,"No","Close friend(s)","None","Less than 30 minutes"
224,0.44,"In-State","Non-Rural",-1.77395928100299,1,"No",2.5862,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",1,"Yes","None","None","2 – 3 hours"
231,0.81,"Out-of-State","Non-Rural",1.73291969984732,2,"No",3.7,"New Transfer Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",4,"Yes","None","None","30 minutes – 1 hour"
231,1.5485,"Out-of-State","Non-Rural",0.602636884934031,1,"Yes",3.7,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",4,"Yes","Family member(s)","None","1 – 2 hours"
231,0.3725,"In-State","Non-Rural",-0.585661198034482,2,"No",3.4583,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","Family member(s)","None","Less than 30 minutes"
224,0.4,"In-State","Non-Rural",-0.734198458405546,1,"Yes",3.0606,"Continuing Student","Female","Yes","No",5,"My financial situation worsened","Purchased tech tools","Yes","My study environment became worse","My performance worsened overall",3,"Yes","Family member(s),Close friend(s)","None","30 minutes – 1 hour"
231,-0.4242,"In-State","Non-Rural",0.454099624562967,0,"No",3.5938,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",3,"No","Family member(s),Close friend(s)","Family member(s)","1 – 2 hours"
132,-0.2369,"In-State","Non-Rural",-0.88273571877661,1,"Yes",3.2097,"Continuing Student","Female","Yes","Yes",4,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance worsened overall",3,"No","None","None","30 minutes – 1 hour"
231,-1.3178,"In-State","Rural",-0.362855307477886,-5,"No",3.621,"Continuing Student","Male","Yes","Yes",5,"My financial situation improved","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",4,"Yes","None","None","Less than 30 minutes"
324,-0.57,"In-State","Rural",-0.0657807867357572,0,"Yes",4.1369,"Continuing Student","Male","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","No","My study environment didn’t change","My performance worsened overall",4,"No","Close friend(s)","None","1 – 2 hours"
112,-0.0537000000000001,"In-State","Non-Rural",-0.467545166542966,0,"Yes",3.6667,"Continuing Student","Female","Yes","No",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"Yes","None","None","1 – 2 hours"
